25時ミク,25-ji miku
Titan（進撃の巨人）,titan (shingeki no kyojin)
ティターニア,titania (sao)
Tmp（ドールズフロントライン）,tmp (girls' frontline)
キノピオ,toad (mario)
鳶一折紙,tobiichi origami
藤堂百合香（アイドルマスター）,todo yurika
轟はじめ,todoroki hajime
轰焦冻（僕のヒーローアカデミア）,todoroki shouto
轟八千代,todoroki yachiyo
渡我被身子（僕のヒーローアカデミア）,toga himiko
十神白夜（ダンガンロンパ）,togami byakuya
豊川祥子（BanG Dream!）,togawa sakiko
遠野秋葉,tohno akiha
トール,tohru (maidragon)
遠坂凛（Fate/stay night）,tohsaka rin
遠坂時臣（Fate/Zero）,tohsaka tokiomi
Tojo・Kirumi,tojo kirumi
トウカイテイオー（ウマ娘）,tokai teio (umamusume)
Tokarev（ドールズフロントライン）,tokarev (girls' frontline)
時（ブルーアーカイブ）,toki (blue archive)
時（ブルーアーカイブ）,toki (bunny) (blue archive)
土岐紅巴,toki kureha
朱鷺戸沙耶,tokido saya
鴇羽舞衣,tokiha mai
鸮たん（東方Project）,tokiko (touhou)
時乃空（ホロライブ）,tokino sora
時崎狂三（デート・ア・ライブ）,tokisaki kurumi
時崎澪（オリジナル）,tokisaki mio (niliu chahui)
時太郎（Fate）,tokitarou (fate)
時津風（艦隊これくしょん）,tokitsukaze (kancolle)
所恵美,tokoro megumi
常暗永远（ホロライブ）,tokoyami towa
常暗永远（初期衣装）（ホロライブ）,tokoyami towa (1st costume)
常暗永远（ホロライブ）,tokoyami towa (cyberpunk)
常暗永远（ホロライブ）,tokoyami towa (jirai kei)
徳川祭（アイドルマスター）,tokugawa matsuri
トクナガ,tokunaga (tales)
兎鞠まり,tomari mari
闇の書,tome of the night sky
特米米,tomimi (arknights)
冨岡義勇,tomioka giyuu
トモエ,tomoe (queen's blade)
巴御前（Fate）,tomoe gozen (fate)
巴御前（水着セイバー）（Fate）,tomoe gozen (swimsuit saber) (fate)
土萌蛍（美少女戦士セーラームーン）,tomoe hotaru
巴麻美（魔法少女まどか☆マギカ）,tomoe mami
友利奈緒,tomori nao
利根（艦隊これくしょん）,tone (kancolle)
トニートニー・チョッパー,tony tony chopper
トゥーンリンク,toon link
トゥーンゼルダ,toon zelda
Toothless（How・To・Train・Your・ドラゴン）,toothless (how to train your dragon)
トパーズ（崩壊：スターレイル）,topaz (honkai  star rail)
Toph・Beifong,toph beifong
寅丸星（東方Project）,toramaru shou
アチャモ,torchic
トリエル,toriel
土佐（アズールレーン）,tosa (azur lane)
トーセンジョーダン（ウマ娘）,tosen jordan (umamusume)
歳納京子,toshinou kyouko
十時愛梨（アイドルマスター）,totoki airi
トトゥーリア・ヘルモルト,totooria helmold
東郷美森,tougou mimori
東北イタコ,touhoku itako
東北きりたん,touhoku kiritan
東北ずん子,touhoku zunko
塔城小猫,toujou koneko
Toujou・Nozomi,toujou nozomi
饕餮尤魔（東方Project）,toutetsu yuuma
藤和エリオ,touwa erio
東横桃子,touyoko momoko
トワ・ハーシェル,towa herschel
ストリンダー（ポケモン）,toxtricity (pokemon)
戸山香橙（アイドルマスター シャイニーカラーズ）,toyama kasumi
豊聡耳神子（東方Project）,toyosatomimi no miko
Tracer（Overwatch）,tracer (overwatch)
トラファルガー・ロー,trafalgar law
Trailblazer（崩壊：スターレイル）,trailblazer (honkai  star rail)
トランセンド（ウマ娘）,transcend (umamusume)
トリッシュ,trish (devil may cry)
Trisha・Elric（鋼の錬金術師）,trisha elric (fullmetal alchemist)
成歩堂みぬき,trucy wright
トランクス（ドラゴンボール）,trunks (dragon ball)
椿（ブルーアーカイブ）,tsubaki (blue archive)
ツバキ=ヤヨイ,tsubaki yayoi
辻野灯（アイドルマスター シンデレラガールズ）,tsujino akari
塚原響,tsukahara hibiki
月影ゆり,tsukikage yuri
Tsukimiya・Ayu（Kanon）,tsukimiya ayu (kanon)
月村鈴鹿（魔法少女リリカルなのは）,tsukimura suzuka
月村手毬（魔法少女リリカルなのは）,tsukimura temari
月ノ美兎,tsukino mito
月野うさぎ,tsukino usagi
月岡恋鐘,tsukioka kogane
Tsukishima・Hajime（Golden・Kamuy）,tsukishima hajime (golden kamuy)
九十九弁弁（東方Project）,tsukumo benben
九十九沙那（ホロライブ）,tsukumo sana
九十九八橋（東方Project）,tsukumo yatsuhashi
月咏（ブルーアーカイブ）,tsukuyo (blue archive)
月読アイ,tsukuyomi ai
月読調,tsukuyomi shirabe
罪木蜜柑（ダンガンロンパ）,tsumiki mikan
紬ヴェンダース,tsumugi wenders
纲手（NARUTO）,tsunade (naruto)
常月纏（鬼滅の刃）,tsunetsuki matoi
角卷绵芽（ホロライブ）,tsunomaki watame
弦卷心（BanG Dream!）,tsurumaki kokoro
弦巻マキ,tsurumaki maki
鶴丸国永,tsurumaru kuninaga
ツルマルツヨシ（ウマ娘）,tsurumaru tsuyoshi (umamusume)
鶴屋（涼宮ハルヒの憂鬱）,tsuruya
津島（艦隊これくしょん）,tsushima (kancolle)
津島善子,tsushima yoshiko
筒隠月子,tsutsukakushi tsukiko
栗花落香奈乎（鬼滅の刃）,tsuyuri kanao
五月七日くみん,tsuyuri kumin
露崎まひる,tsuyuzaki mahiru
ソーン（グラブル）,tweyen (granblue fantasy)
黄昏（SPY×FAMILY）,twilight (spy x family)
トワイライトスパークル,twilight sparkle
ツインターボ（ウマ娘）,twin turbo (umamusume)
95式,type 95 (girls' frontline)
97式,type 97 (girls' frontline)
バクフーン,typhlosion
ティフォン（アークナイツ）,typhon (arknights)
バンギラス（ポケモン）,tyranitar (pokemon)
ガチゴラス（ポケモン）,tyrantrum (pokemon)
U-511（艦隊これくしょん）,u-511 (kancolle)
ユーベル,ubel (sousou no frieren)
内笑美莉,uchi emiri
宇智波鼬（NARUTO）,uchiha itachi (naruto)
宇智波斑（NARUTO）,uchiha madara (naruto)
宇智波佐良娜（NARUTO）,uchiha sarada (naruto)
宇智波佐助（NARUTO）,uchiha sasuke
宇田川巴（BanG Dream!）,udagawa tomoe
Udin（Kureiji・Ollie）,udin (kureiji ollie)
上原步夢（ラブライブ！）,uehara ayumu
上原緋瑪麗（ラブライブ！）,uehara himari
上杉風太郎,uesugi fuutarou
優衣（ブルーアーカイブ）,ui (blue archive)
優衣（水着）（ブルーアーカイブ）,ui (swimsuit) (blue archive)
初春飾利,uiharu kazari
宇治松千夜,ujimatsu chiya
ウルキオラ・シファー（BLEACH）,ulquiorra cifer (bleach)
ウルリッヒ・フォン・フッテン,ulrich von hutten (azur lane)
终极小円（魔法少女まどか☆マギカ）,ultimate madoka
ブラッキー,umbreon
海風（艦隊これくしょん）,umikaze (kancolle)
UMP40（ドールズフロントライン）,ump40 (girls' frontline)
UMP45（ドールズフロントライン）,ump45 (girls' frontline)
UMP9（ドールズフロントライン）,ump9 (girls' frontline)
ウンディーネ（ギルティギア）,undine (guilty gear)
Undyne（UNDERTALE）,undyne (undertale)
ユニ（ネプテューヌ）,uni (neptunia)
ユニコーン（アズールレーン）,unicorn (azur lane)
憧れの遊園地,unicorn (long-awaited date) (azur lane)
アーサー・カークランド,united kingdom (hetalia)
卯花烈（BLEACH）,unohana retsu
雲龍（艦隊これくしょん）,unryuu (kancolle)
雲山（東方Project）,unzan
浦風（艦隊これくしょん）,urakaze (kancolle)
麗日御茶子（僕のヒーローアカデミア）,uraraka ochako
ウルボザ,urbosa
うろつき,urotsuki
ウルスラ・ハルトマン,ursula hartmann
潤羽るしあ,uruha rushia
Uruha・Rushia（第3衣装）,uruha rushia (3rd costume)
潤羽るしあ（校服）,uruha rushia (school uniform)
Urushibara・Ruka（Steins・Gate）,urushibara ruka (steins gate)
雨生龍之介,uryuu ryuunosuke
うさだヒカル,usada hikaru
宇佐田佩克拉（ホロライブ）,usada pekora
宇佐田佩克拉（私服）（ホロライブ）,usada pekora (casual)
宇佐见蓮子（東方Project）,usami renko
宇佐见堇子（東方Project）,usami sumireko
潮（艦隊これくしょん）,ushio (kancolle)
潮（水着）（艦隊これくしょん）,ushio (swimsuit) (kancolle)
右代宮縁寿,ushiromiya ange
右代宮戦人,ushiromiya battler
右代宮絵羽,ushiromiya eva
右代宮朱志香,ushiromiya jessica
右代宮理御,ushiromiya lion
右代宮真里亞,ushiromiya maria
右代宮夏妃,ushiromiya natsuhi
右代宮楼座,ushiromiya rosa
牛若丸（Fate）,ushiwakamaru (fate)
牛若丸（水着アサシン）（Fate）,ushiwakamaru (swimsuit assassin) (fate)
牛崎润美（東方Project）,ushizaki urumi
ウソップ,usopp
薄雲（艦隊これくしょん）,usugumo (kancolle)
ウタ（ONEPIECE）,uta (one piece)
宴,utage (arknights)
夏卉FA661,utage (summer flowers) (arknights)
歌隼（ブルーアーカイブ）,utaha (blue archive)
宇津木徳幸,utsugi noriyuki
宇津木優木,utsugi yuuki
宇津見エリセ（Fate/Grand Order）,utsumi erice
内海桜,utsumi sakura
宇崎花,uzaki hana
宇崎月,uzaki tsuki
宇髄天元（鬼滅の刃）,uzui tengen
卯月（艦隊これくしょん）,uzuki (kancolle)
Uzumaki・Boruto（Naruto）,uzumaki boruto (naruto)
漩涡向日葵（NARUTO）,uzumaki himawari (naruto)
漩涡玖辛奈（NARUTO）,uzumaki kushina (naruto)
うずまきナルト,uzumaki naruto
ヴァジラ,vajra (granblue fantasy)
ヴァレンタイン,valentine (skullgirls)
ワルキューレ（Fate）,valkyrie (fate)
吸血鬼（アズールレーン）,vampire (azur lane)
ヴァンピィ,vampy
ヴァン・アークライド,van arkride
Van・Hohenheim（鋼の錬金術師）,van hohenheim (fullmetal alchemist)
バニラ,vanilla (nekopara)
シャワーズ,vaporeon
ヴァッシュ・ザ・スタンピード,vash the stampede
Vector（ドールズフロントライン）,vector (girls' frontline)
ベジータ,vegeta
Vegetto（ドラゴン・Ball）,vegetto (dragon ball)
Vei（VTuber）,vei (vtuber)
ベルベット・クラウ,velvet crowe
ヴェーネス,venat (ff14)
ヴィニエイラ様,venera-sama
ヴェノム,venom (marvel)
Venti（Archon）（原神）,venti (archon) (genshin impact)
ウェンティ（原神）,venti (genshin impact)
ヴェントゥス,ventus (kingdom hearts)
緋耀,vera (pgr)
バージル（デビルメイクライ）,vergil (devil may cry)
ヴァーミル（アークナイツ）,vermeil (arknights)
響（艦隊これくしょん）,verniy (kancolle)
ヴェロニカ,veronica (fire emblem)
ベール（ネプテューヌ）,vert (neptunia)
Vertin（Reverse・1999）,vertin (reverse 1999)
ヴィルシーナ（ウマ娘）,verxina (umamusume)
ベスティア・ゼータ,vestia zeta
ヴェイル,veyle (fire emblem)
マサル,victor (pokemon)
ヴィクトリカ・ド・ブロワ,victorica de blois
勝利（アズールレーン）,victorious (azur lane)
Videl（ドラゴン・Ball）,videl (dragon ball)
ヴィグナ（アークナイツ）,vigna (arknights)
月乃瀬=ヴィネット=エイプリル,vignette tsukinose april
ビカラ,vikala (granblue fantasy)
ヴィクトル・ニキフォロフ,viktor nikiforov
ヴィルヴィ,vill-v
ヴィレッタ,villetta nu
Vincent・Valentine（FF7）,vincent valentine (ff7)
ヴァイオレット・エヴァーガーデン,violet evergarden
バイパー（勝利の女神:NIKKE）,viper (nikke)
ヴィーラ,vira (granblue fantasy)
ワルギリア,virgilia (umineko)
塑心,virtuosa (arknights)
Vita（Honkai・Impact）,vita (honkai impact)
維塔（魔法少女リリカルなのは）,vita (nanoha)
ヴィットリオ・ヴェネト（アズールレーン）,vittorio veneto (azur lane)
ヴィヴィアナ（アークナイツ）,viviana (arknights)
高町ヴィヴィオ,vivio
ヴィブロス（ウマ娘）,vivlos (umamusume)
ヴィイ（Fate）,viy (fate)
ヴラド三世（Fate/Apocrypha）,vlad iii (fate/apocrypha)
ヴラディレーナ・ミリーゼ,vladilena millize
ウオッカ（ウマ娘）,vodka (umamusume)
Volibear（リーグ・オブ・レジェンド）,volibear (league of legends)
ウォロ,volo (pokemon)
Vox・Akuma,vox akuma
VSK-94（ドールズフロントライン）,vsk-94 (girls' frontline)
ロコン,vulpix
森月黎,vyn richter (tears of themis)
W（アークナイツ）,w (arknights)
WA2000（ドールズフロントライン）,wa2000 (girls' frontline)
若葉（艦隊これくしょん）,wakaba (kancolle)
若葉睦（BanG Dream!）,wakaba mutsumi
若藻（ブルーアーカイブ）,wakamo (blue archive)
若藻（水着）（ブルーアーカイブ）,wakamo (swimsuit) (blue archive)
若菜四季（ラブライブ！）,wakana shiki
若狭悠里（ラブライブ！）,wakasa yuuri
若狭姫（東方Project）,wakasagihime
ミクリ,wallace (pokemon)
ミツル（ポケトレ）,wally (pokemon)
瓦普吉斯之夜（魔法少女まどか☆マギカ）,walpurgisnacht (madoka magica)
ワムウ,wamuu
放浪者（原神）,wanderer (genshin impact)
王留美（機動戦士ガンダム00）,wang liu mei
王雨嘉,wang yujia
童田明治,warabeda meiji
ワルファリン,warfarin (arknights)
Wargreymon（デジモン）,wargreymon (digimon)
厌戦（アズールレーン）,warspite (azur lane)
厌戦（艦隊これくしょん）,warspite (kancolle)
華盛顿（艦隊これくしょん）,washington (kancolle)
渡辺曜,watanabe you
渡良瀬準,watarase jun
绵月豊姫（東方Project）,watatsuki no toyohime
绵月依姫（東方Project）,watatsuki no yorihime
ワトソン・アメリア,watson amelia
ワトソン・アメリア（私服衣装）,watson amelia (street casual)
Wattson（Apex・Legends）,wattson (apex legends)
ウェイバー・ベルベット（Fate/Zero）,waver velvet
ウェンズデー,wednesday addams
温蒂,weedy (arknights)
Weiss・Schnee,weiss schnee
ウェルロッドMkII,welrod mkii (girls' frontline)
ウェンディ・マーベル,wendy marvell
ウィップ,whip (kof)
鞭刃,whislash (arknights)
絮雨,whisperain (arknights)
ホワイトハート,white heart (neptunia)
白レン,white len (tsukihime)
ホワイトライオン（けものフレンズ）,white lion (kemono friends)
ホワイト・メイジ,white mage
シロサイ,white rhinoceros (kemono friends)
ホワイトスミス,whitesmith (ragnarok online)
ビッケ,wicke (pokemon)
Widowmaker（Overwatch）,widowmaker (overwatch)
ウィーン・マルガレーテ,wien margarete
プクリン,wigglytuff
Wild・Tiger（けものフレンズ）,wild tiger (kemono friends)
Wiiフィットトレーナー,wii fit trainer
WiiFitトレーナー,wii fit trainer (female)
ウィラード・H・ライト,willard h. wright
